NetConn_SampleCellGroup_CellGroup_2:
SingleSynapticConnection:0:5:0.7545135:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.02220267]
SingleSynapticConnection:0:5:0.48424882:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.30368304]
SingleSynapticConnection:0:5:0.6836699:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.15202975]
SingleSynapticConnection:0:5:0.6680372:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.92351997]
SingleSynapticConnection:1:5:0.37197024:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9806194]
SingleSynapticConnection:1:5:0.72391284:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.99626476]
SingleSynapticConnection:1:5:0.28597212:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.42317295]
SingleSynapticConnection:1:5:0.155294:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.047141492]
SingleSynapticConnection:2:5:0.42496082:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.92711526]
SingleSynapticConnection:2:5:0.96052986:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.763397]
SingleSynapticConnection:2:5:0.848128:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.17741853]
SingleSynapticConnection:2:5:0.11245363:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.20870954]
SingleSynapticConnection:3:5:0.4547121:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.79199773]
SingleSynapticConnection:3:5:0.10365605:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.15274632]
SingleSynapticConnection:3:5:0.9553624:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.114019394]
SingleSynapticConnection:3:5:0.06263703:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.73061967]
SingleSynapticConnection:4:5:0.052092135:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.5253484]
SingleSynapticConnection:4:5:0.04071933:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.79250365]
SingleSynapticConnection:4:5:0.20453596:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9289908]
SingleSynapticConnection:4:5:0.94558495:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.85542816]
SingleSynapticConnection:5:5:0.001829803:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.17827296]
SingleSynapticConnection:5:5:0.254521:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.52727604]
SingleSynapticConnection:5:5:0.082282186:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.26663023]
SingleSynapticConnection:5:5:0.07893974:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6372674]
SingleSynapticConnection:6:5:0.74710774:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.034261465]
SingleSynapticConnection:6:5:0.37146175:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.07772136]
SingleSynapticConnection:6:5:0.8998455:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.99653804]
SingleSynapticConnection:6:5:0.067830324:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.538645]
SingleSynapticConnection:7:5:0.7096851:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6539394]
SingleSynapticConnection:7:5:0.7381495:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.89970666]
SingleSynapticConnection:7:5:0.4447775:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.30441946]
SingleSynapticConnection:7:5:0.8854166:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.033407032]
