CellGroup_2:
Cell: [0] (97.55847, 175.94403, 442.94516); node id: 0
Cell: [1] (366.71393, 162.19223, 191.37907); node id: 1
Cell: [2] (482.04703, 183.21616, 39.865555); node id: 2
Cell: [3] (240.55234, 107.68588, 69.77034); node id: 3
SampleCellGroup:
Cell: [0] (59.117138, 75.081436, 340.0188); node id: 0
Cell: [1] (66.59281, 65.00241, 214.34277); node id: 1
Cell: [2] (134.01044, 65.76641, 478.98395); node id: 2
Cell: [3] (355.1345, 89.400764, 208.22925); node id: 3
Cell: [4] (379.62042, 46.409065, 440.8053); node id: 0
Cell: [5] (446.6858, 56.92076, 208.07907); node id: 1
Cell: [6] (219.75801, 49.975616, 90.36621); node id: 2
Cell: [7] (35.403072, 17.85431, 298.24542); node id: 3
