NetConn_SampleCellGroup_CellGroup_2:
SingleSynapticConnection:0:5:0.2437877:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.48847252]
SingleSynapticConnection:0:5:0.44436044:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9564062]
SingleSynapticConnection:0:5:0.35963124:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9957643]
SingleSynapticConnection:0:5:0.44240862:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.84554017]
SingleSynapticConnection:1:5:0.28142416:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.5074165]
SingleSynapticConnection:1:5:0.8967754:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.1486361]
SingleSynapticConnection:1:5:0.46804368:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.4505502]
SingleSynapticConnection:1:5:0.8528091:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.44009995]
SingleSynapticConnection:2:5:0.49926293:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.42945683]
SingleSynapticConnection:2:5:0.66222286:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.632794]
SingleSynapticConnection:2:5:0.3855707:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9429349]
SingleSynapticConnection:2:5:0.47005892:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.92681754]
SingleSynapticConnection:3:5:0.57328975:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.8578269]
SingleSynapticConnection:3:5:0.9238205:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.14371419]
SingleSynapticConnection:3:5:0.6247599:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.7578054]
SingleSynapticConnection:3:5:0.69049746:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.74337786]
SingleSynapticConnection:4:5:0.33557987:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.8694642]
SingleSynapticConnection:4:5:0.41505957:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.4820611]
SingleSynapticConnection:4:5:0.6143772:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.25703079]
SingleSynapticConnection:4:5:0.08309519:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.2372737]
SingleSynapticConnection:5:5:0.7953033:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.3725211]
SingleSynapticConnection:5:5:0.36062413:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9989916]
SingleSynapticConnection:5:5:0.17942643:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.84991807]
SingleSynapticConnection:5:5:0.37571383:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.40647942]
SingleSynapticConnection:6:5:0.50842273:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6399615]
SingleSynapticConnection:6:5:0.5793817:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.49616122]
SingleSynapticConnection:6:5:0.76244074:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.19639528]
SingleSynapticConnection:6:5:0.77736574:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.51836014]
SingleSynapticConnection:7:5:0.1437428:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.4450258]
SingleSynapticConnection:7:5:0.15969968:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.77935594]
SingleSynapticConnection:7:5:0.35870254:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6937032]
SingleSynapticConnection:7:5:0.17162722:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.47009677]
