CG4:
Cell: [0] (426.48007, 62.527817, 181.15907); node id: 0
Cell: [1] (26.157856, 86.72111, 122.152985); node id: 1
Cell: [2] (47.86569, 48.332882, 380.1016); node id: 2
Cell: [3] (166.31374, 55.16275, 457.06406); node id: 3
Cell: [4] (275.1224, 18.640715, 151.58734); node id: 0
Cell: [5] (334.74512, 18.046873, 28.46399); node id: 1
Cell: [6] (78.70197, 72.64096, 336.0292); node id: 2
Cell: [7] (191.84071, 53.02803, 287.64285); node id: 3
Cell: [8] (472.31833, 49.404484, 345.72388); node id: 0
Cell: [9] (480.634, 22.675783, 49.443184); node id: 1
Cell: [10] (274.0345, 44.239075, 39.626957); node id: 2
Cell: [11] (364.1842, 50.047855, 210.30444); node id: 3
Cell: [12] (318.13718, 65.766785, 149.74698); node id: 0
Cell: [13] (289.19882, 58.040207, 427.20453); node id: 1
Cell: [14] (170.23969, 69.27162, 11.122197); node id: 2
Cell: [15] (157.43083, 94.76434, 471.25702); node id: 3
Cell: [16] (163.15889, 8.518494, 349.8018); node id: 0
Cell: [17] (114.686516, 91.284134, 52.56936); node id: 1
Cell: [18] (53.303986, 29.966354, 416.94745); node id: 2
Cell: [19] (394.28433, 73.547035, 453.8707); node id: 3
Cell: [20] (122.736694, 78.56464, 494.24042); node id: 0
Cell: [21] (287.19562, 56.959023, 22.426039); node id: 1
Cell: [22] (230.1623, 87.81927, 196.45535); node id: 2
Cell: [23] (291.51028, 23.823898, 477.19122); node id: 3
Cell: [24] (468.4546, 20.098364, 454.21832); node id: 0
Cell: [25] (363.13428, 7.27337, 459.68903); node id: 1
Cell: [26] (150.63435, 59.758015, 460.4602); node id: 2
Cell: [27] (388.0606, 45.43508, 353.84503); node id: 3
Cell: [28] (333.27872, 14.907861, 421.61145); node id: 0
Cell: [29] (20.468504, 19.480711, 111.43958); node id: 1
Cell: [30] (229.98466, 40.993088, 442.9146); node id: 2
Cell: [31] (44.56237, 78.91342, 326.25333); node id: 3
Cell: [32] (271.8553, 18.895447, 252.69228); node id: 0
Cell: [33] (461.39145, 12.822538, 6.880492); node id: 1
Cell: [34] (403.74896, 17.658842, 66.98647); node id: 2
Cell: [35] (382.3176, 60.77881, 193.23734); node id: 3
Cell: [36] (28.573751, 82.77813, 177.53938); node id: 0
Cell: [37] (267.94772, 10.998667, 349.38333); node id: 1
Cell: [38] (256.72354, 47.82864, 453.27286); node id: 2
Cell: [39] (166.62431, 71.94829, 287.61285); node id: 3
CG3:
Cell: [0] (147.37222, 31.057417, 125.2262); node id: 0
Cell: [1] (210.0474, 39.371033, 54.33479); node id: 1
Cell: [2] (201.64021, 12.728721, 46.8944); node id: 2
Cell: [3] (203.88138, 59.807034, 62.186806); node id: 3
Cell: [4] (34.5321, 52.027725, 487.61105); node id: 0
Cell: [5] (241.34927, 53.495354, 138.43387); node id: 1
Cell: [6] (125.64239, 34.149273, 297.57642); node id: 2
Cell: [7] (192.63095, 85.85172, 415.4038); node id: 3
Cell: [8] (414.84418, 24.855274, 417.2641); node id: 0
Cell: [9] (340.9989, 45.14585, 416.02948); node id: 1
Cell: [10] (176.96068, 36.982185, 33.89311); node id: 2
Cell: [11] (39.919018, 25.736517, 217.75383); node id: 3
Cell: [12] (250.40558, 11.149782, 223.74216); node id: 0
Cell: [13] (486.4954, 70.02631, 186.42404); node id: 1
Cell: [14] (243.04803, 49.78835, 222.26137); node id: 2
Cell: [15] (362.4645, 18.600904, 360.94168); node id: 3
Cell: [16] (140.47867, 71.22246, 388.12326); node id: 0
Cell: [17] (256.20532, 10.467064, 389.2788); node id: 1
Cell: [18] (466.1056, 48.638134, 441.15924); node id: 2
Cell: [19] (38.351326, 81.31508, 39.02143); node id: 3
Cell: [20] (337.76834, 62.272106, 79.43946); node id: 0
Cell: [21] (6.416768, 92.27435, 487.2101); node id: 1
Cell: [22] (25.05359, 79.0086, 45.36703); node id: 2
Cell: [23] (222.92287, 75.630066, 205.7223); node id: 3
Cell: [24] (458.6133, 61.90317, 282.72922); node id: 0
Cell: [25] (261.062, 33.021152, 23.091227); node id: 1
Cell: [26] (443.03625, 76.97282, 31.530947); node id: 2
Cell: [27] (109.48947, 64.7754, 134.76762); node id: 3
Cell: [28] (32.49824, 23.886984, 454.6587); node id: 0
Cell: [29] (456.65918, 12.936485, 489.10748); node id: 1
Cell: [30] (327.65656, 38.54373, 344.28024); node id: 2
Cell: [31] (160.79271, 63.8124, 321.7907); node id: 3
Cell: [32] (444.75885, 86.84549, 188.21904); node id: 0
Cell: [33] (127.84511, 52.11841, 349.70642); node id: 1
Cell: [34] (389.03745, 74.40924, 35.356133); node id: 2
Cell: [35] (374.3222, 18.21983, 487.64554); node id: 3
Cell: [36] (145.74677, 41.49476, 317.99554); node id: 0
Cell: [37] (302.8125, 55.395233, 369.60583); node id: 1
Cell: [38] (98.393265, 53.84055, 379.44742); node id: 2
Cell: [39] (253.87236, 91.05163, 429.25558); node id: 3
