NetConn_SampleCellGroup_CellGroup_2:
SingleSynapticConnection:0:5:0.25374287:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.608113]
SingleSynapticConnection:0:5:0.7442394:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.67784584]
SingleSynapticConnection:0:5:0.049696743:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.69287574]
SingleSynapticConnection:0:5:0.92568684:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.46909118]
SingleSynapticConnection:1:5:0.40759432:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.87075883]
SingleSynapticConnection:1:5:0.9366938:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6959553]
SingleSynapticConnection:1:5:0.8558121:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.4765547]
SingleSynapticConnection:1:5:0.65600073:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.3999126]
SingleSynapticConnection:2:5:0.15540749:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.71097064]
SingleSynapticConnection:2:5:0.6169919:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.06853175]
SingleSynapticConnection:2:5:0.9958944:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6823335]
SingleSynapticConnection:2:5:0.46126622:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.06331962]
SingleSynapticConnection:3:5:0.8004589:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6838376]
SingleSynapticConnection:3:5:0.60304445:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.21366596]
SingleSynapticConnection:3:5:0.38368946:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.60871005]
SingleSynapticConnection:3:5:0.2600813:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6594385]
SingleSynapticConnection:4:5:0.0066496134:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.5238323]
SingleSynapticConnection:4:5:0.38663605:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.78356767]
SingleSynapticConnection:4:5:0.582133:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.071769655]
SingleSynapticConnection:4:5:0.33018833:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.8659994]
SingleSynapticConnection:5:5:0.39719623:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.5518253]
SingleSynapticConnection:5:5:0.22596616:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9116827]
SingleSynapticConnection:5:5:0.7405728:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.24264973]
SingleSynapticConnection:5:5:0.2419886:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.95779884]
SingleSynapticConnection:6:5:0.24933034:0:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.7721005]
SingleSynapticConnection:6:5:0.7922074:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.04922676]
SingleSynapticConnection:6:5:0.62214035:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.114459336]
SingleSynapticConnection:6:5:0.74646366:2:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.9862807]
SingleSynapticConnection:7:5:0.58578736:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.10078114]
SingleSynapticConnection:7:5:0.4833606:1:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.8950412]
SingleSynapticConnection:7:5:0.6470525:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.165061]
SingleSynapticConnection:7:5:0.35578436:3:0:0.5:0: ConnSpecificProps [synapseType: MF_AMPA, internalDelay: 5.0, weight: 0.6481443]
